Objekt,Ebene,Bauteil,AKS Plan,AKS real,alte Türnummer ,Schlossernummer,Höhe [cm],Breite [cm],Zylinder [Z/B/WC/S] ,"Flügel [1,2,3]",Hersteller,Seriennummer,Feuerwider-stand,Brand-schutz-grenze [ja/nein],Flucht [ja/nein],Fluchtwegs-tür Nr,Panik [D/ St.K],Nottaster [ja/nein],Offenhalte-magnet [ja/nein],Taster für Schließung [ja/nein],Vorsicherung [ja/nein],SZ - Magnet [ja/nein],Bemerkung,AKS_Plan,AKS_real,Name,Nummer,StatusText,Status,CLASS,Raum2,Raum2[2],tow.tod::anmerkung,tow_tod_last::durchführung,tow_tod_last::pnl_Nme,pnl.tow.tod_last::f_Name,eAntrieb,exf01,haltemechanik,hersteller,klassifikation,lfd.,Plan Nr.,BAUTEIL,EBENE,MODUL,RAUMNR.,NR.,FLUCHT MÖGLICH,Unnamed: 8,BLINDZYL./ ROSETTE/ ABDECKUNG,ZYL.,PANIKSCHLOSS,VERSPERRT,VERSPERRBAR,Unnamed: 14,NOTTASTER,Unnamed: 16,MÄNGEL,Unnamed: 18,Bewertung,Unnamed: 20,übermittelt,OBJ.,GESCH.,Alte Türnummer,BSTüreALT,Raumnr.,AKS RAUM,UZ6/Steu.,KREIS,LFD. NR,INFO
420.0,K1,A,2205.01,keineNr.,5K2,063/K/48,200.0,80,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,ja,ja,nein,nein,imPlanrot,420K1A2205.01,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,K1,A,2506.01,keineNr.,5K3,063/K/47,200.0,80,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,ja,ja,nein,nein,imPlanrot,420K1A2506.01,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,K1,A,2308.01,keineNr.,01A,keineNr.,243.0,112,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,nein,nein,nein,nein,,420K1A2308.01,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,K1,A,2108.01,keineNr.,5K1,063/K/109,200.0,80,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,ja,ja,nein,nein,imPlanrot,420K1A2108.01,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,K1,A,1305.02,keineNr.,3K1,063/K/149,200.0,80,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,ja,ja,nein,nein,imPlanrot,420K1A1305.02,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,K1,A,1305.01,keineNr.,2K1,063/K/50,200.0,80,nein,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,ja,ja,nein,nein,imPlanrot,420K1A1305.01,420K1AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,1607.1,1607.01,093,420/0/80,200.0,95/40,Z,2,KeinHersteller,Nichtlesbar,nein,ja,nein,keinNr.,D/D,Nein,Ja,Ja,Nein,Nein,keineHerstellerangaben,42000B1607.1,42000B1607.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,1605.02,1605.02,0100C,420/0/81,200.0,90/90,B,2,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,D/D,Nein,Ja,Ja,Nein,Nein,,42000B1605.02,42000B1605.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,1505.02,1505.02,010B,Nichtvorhanden,200.0,102,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42000B1505.02,42000B1505.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,1505.01,keineNr.,keineNr.,Nichtvorhanden,200.0,100,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42000B1505.01,42000BkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
